"","match_api_id","trailing5_home","trailing5_away","h2h","trailing10_home","trailing10_away","home_bet_avg","away_bet_avg","tie_bet_avg","bet_avg_winner","bet_vote"
"14088",836687,0.333333333333,0.8,0.4,0.285714285714,0.875,5.16666666667,1.53888888889,3.99777777778,"away","away"
"14089",836688,0,0.6,0,0.125,0.777777777778,4.52333333333,1.63333333333,3.87222222222,"away","away"
"14090",836689,0.25,0.6,0.25,0.222222222222,0.666666666667,2.88666666667,2.25888888889,3.33,"away","away"
"14091",836690,0.5,0.4,1,0.714285714286,0.444444444444,1.18222222222,11.7777777778,6.33333333333,"home","home"
"14092",836691,0.75,0,0.666666666667,0.666666666667,0.333333333333,1.29888888889,8.86111111111,4.88888888889,"home","home"
"14093",836692,0.6,0.6,0,0.555555555556,0.333333333333,1.93222222222,3.42222222222,3.54444444444,"home","home"
"14094",836693,0.4,1,0,0.428571428571,0.833333333333,2.62444444444,2.39,3.42777777778,"away","away"
"14095",836694,0.2,0.25,0.4,0.222222222222,0.222222222222,3.16111111111,2.04,3.48888888889,"away","away"
"14096",836695,0.75,0.333333333333,0.5,0.714285714286,0.142857142857,1.78,4.01777777778,3.55555555556,"home","home"
"14097",836696,0.6,0.4,0.75,0.777777777778,0.444444444444,1.68,4.39333333333,3.71111111111,"home","home"
"14098",836697,0.6,0.4,0.25,0.666666666667,0.428571428571,1.7,4.46666666667,3.61666666667,"home","home"
"14099",836698,0,0.25,0,0.285714285714,0.25,1.36,7.38888888889,4.44222222222,"home","home"
"14100",836699,0.2,0.75,0.2,0.285714285714,0.777777777778,2.25666666667,2.83111111111,3.38333333333,"home","home"
"14101",836700,0.4,0.75,1,0.444444444444,0.444444444444,1.79666666667,3.95,3.53333333333,"home","home"
"14102",836701,0.6,0.5,0,0.4,0.714285714286,3.95111111111,1.76888888889,3.63888888889,"away","away"
"14103",836702,1,1,0.75,0.888888888889,0.857142857143,1.84888888889,3.75555555556,3.50555555556,"home","home"
"14104",836151,0,0.666666666667,0.666666666667,0,0.571428571429,3.82222222222,1.83222222222,3.48888888889,"away","away"
"14105",836154,0,0.6,1,0.333333333333,0.333333333333,1.78222222222,4.07,3.42222222222,"home","home"
"14106",836159,0.75,0.5,0.5,0.666666666667,0.625,1.98111111111,3.42222222222,3.37777777778,"home","home"
"14107",836161,0.4,0.333333333333,0.333333333333,0.375,0.428571428571,2.58444444444,2.44555555556,3.32777777778,"away","away"
"14108",836163,0.5,-1,-1,0.833333333333,-1,1.27888888889,9.38888888889,4.94444444444,"home","home"
"14109",836167,1,0.75,0.5,0.857142857143,0.625,1.50333333333,6.08333333333,3.80555555556,"home","home"
"14110",836169,0.5,0.25,1,0.666666666667,0.375,1.40444444444,6.98333333333,4.20333333333,"home","home"
"14111",836170,0.5,1,0,0.5,1,9.36111111111,1.28333333333,4.88888888889,"away","away"
"14112",836171,0.4,1,0,0.333333333333,1,8.18888888889,1.33333333333,4.49555555556,"away","away"
